name,city,neighborhood,summary
SpaHa Soul,New York,East Harlem,Í¢‘„‘ñThis is the most informal dining experience youÍ¢‘„‘ll ever have\u201d said Artist Thornton the owner and Í¢‘„‘ñchef\u201d (quotation marks his) of this idiosyncratic and lovely little restaurant. Plates may be china or plastic; silverware is rolled in paper napkins secured by rubber bands. The menu exists on a single iPad that is passed around. The food which traverses Louisiana Mexico and India has an improvised feel with dishes made for (and named after) neighbors and friends. SpaHa Soul is not a destination for those seeking culinary bedazzlement; a different kind of nourishment is on offer. Enter the restaurant and you become part of Mr. ThorntonÍ¢‘„‘s small bright sphere of influence where dinner is just an excuse for camaraderie. As night unspools strangers lean between tables to introduce themselves as if inspired by their hostÍ¢‘„‘s gregariousness.
Masha &amp; the Bear,Brooklyn,Williamsburg,According to Vitaly Sherman who runs Masha and the Bear with his wife Maria (known as Masha) Peter the Great mandated that all Russian inns keep a stash of horseradish vodka in their cellars for the rejuvenation of weary travelers. Here the horseradish vodka is infused in-house and stored in pressurized kegs to avoid exposure to air. Anya Vasilenko the chef cleaves to tradition with dishes like ukha a fish soup purportedly beloved by Ivan the Terrible and Herring in a Fur Coat a salad born of the Russian Revolution uniting proletarian herring and peasant potatoes under a mantle of beets in Bolshevik red. Mr. Sherman a native of Belarus who came to the United States in 1989 is an effusive ambassador for the cuisine and culture of his youth.
Haldi,,Kips Bay,HaldiÍ¢‘„‘s menu is a delightful compendium of cultural references to the city of Kolkata in West Bengal India drawing on the culinary traditions of Bengalis the British Raj Marwari migrants from Rajasthan KolkataÍ¢‘„‘s Chinatown (the birthplace of Indian Chinese cuisine) and the cityÍ¢‘„‘s small but once influential community of Baghdadi Jews. Hemant Mathur the chef and co-owner is a rare talent who made his name at some of New YorkÍ¢‘„‘s finest Indian restaurants. He brings to the kitchen quiet fastidiousness while staying true to the homey nature of the dishes. Haldi means turmeric in Hindi thus the sunny yellow chairs under chandeliers of green bottles and copper woklike pans called kadhais inverted and fixed to the ceiling. The dining room isnÍ¢‘„‘t fancy but it sets a notably elegant tone for Curry Hill.
Little Park,,TriBeCa,Since becoming his own boss Andrew Carmellini has usually cooked in and around the traditions of one country or another. At Little Park he and his chef de cuisine Min Kong are working out their ideas from scratch. This may be why the best dishes there seem more fresh natural and intuitive than whatÍ¢‘„‘s on his other menus. Little Park is Mr. CarmelliniÍ¢‘„‘s most contemporary restaurant having less in common with Locanda Verde than it does with forward-leaning places like Estela or Cosme. In the modern fashion most dishes are of roughly the same size and complexity. There are no second-class ingredients and almost no side dishes. The vegetables and they are numerous are as intriguing as the animals. 
Eleven Madison Park,New York,Midtown South,Eleven Madison Park adopted a tasting menu on the theme of New York meals have been marred by goofy tableside history lessons. And the chef Daniel Humm practices a locavorism that is strictly entry-level stuff. What Eleven Madison feeds your intellect can have the value of junk food but what it feeds your mouth stomach and spirit is something else. Both the kitchen and the dining room staff try as hard as any to bring delight to the table with every course. They succeed so often that only the most determinedly grumpy souls could resist.
Bowery Meat Company,New York,East Village,The chef Josh Capon and the restaurateur John McDonald the pair behind Lure Fishbar and El Toro Blanco have brought forth a Í¢‘„‘ñmeat company\u201d whose website says it is Í¢‘„‘ñnot a traditional steakhouse but a balanced meat-centric menu.\u201d Bowery Meat Company is not in fact a menu. But it does have a menu and on it you will find seven cuts of beef plus a burger potatoes cooked four ways and a spinach side dish. But then it leaves steakhouse menus behind with Chinese barbecue-style pork belly or the duck lasagna for two. And there is more. Much more. You can eat at Bowery Meat Company multiple times and barely put a dent in the menu though it will leave its mark on you. Whether he is cooking beef or broiling oysters Mr. Capon knows where the pleasure centers are and how to tickle them.
House of Inasal,Queens,Woodside,This Filipino restaurant in a stretch of Queens known as Little Manila feels spacious and sleepy operating at the pace of a desultory ceiling fan. The menu is congenial offering unlimited rice all-day breakfast and street specialties like grilled pork intestines and kwek-kwek (deep-fried quail eggs). Ricardo Aguirre the chef and a native of the Philippines started cooking at his fatherÍ¢‘„‘s two turo-turo (cafeteria-style) restaurants in Jersey City attended the Culinary Institute of America and worked the line at Craftbar and Nobu. ItÍ¢‘„‘s a career trajectory that could easily have led him to selling haute free-range kwek-kwek from a Smorgasburg stall. Instead heÍ¢‘„‘s delivering straightforward comfort food Í¢‘„‘î unmodernized unexalted Í¢‘„‘î with no concessions to Western palates.
La Morada,Bronx,North New York,La MoradaÍ¢‘„‘s married owners Natalia Mendez and Antonio Saavedra were once farmers in Oaxaca which is one of the poorest states in Mexico but whose cuisine is among the countryÍ¢‘„‘s richest. While much of the menu is taken up by tacos and quesadillas a few dishes offer a glimpse of the Í¢‘„‘ñinfinite gastronomy\u201d that is Oaxacan cooking. Ms. MendezÍ¢‘„‘s food tastes as if it was made by someone who has looked you in the eye which she does checking on diners throughout the meal busing emptied tortilla baskets and ferrying bulging clay cups of cinnamon tea. There are ideas in the air along with the scent of corn from tortillas growing pliant on the comal: Ms. MendezÍ¢‘„‘s son Marco the host waiter and poet in residence has pinned up a Í¢‘„‘ñMesoamÍ—‘©rica Resiste\u201d poster and stocked a lending library in the back with Plutarch Orwell and Plath. 
Via Carota,New York,West Village,Jody Williams who shares responsibility for Via CarotaÍ¢‘„‘s Italian menu with Rita Sodi has filled Via Carota with antique nail barrels china hutches silver tea pots porcelain creamers seltzer siphons glazed cheese crocks woven wood baskets and chairs from a Welsh chapel. All these flea-market triumphs give the dining room an ambient level of cuteness that is balanced by an Italian severity. Best of all the two chefs cook food that is deeply appealing without mugging. Ms. Sodi is a stickler about the pastas; like the meat and fish dishes they arenÍ¢‘„‘t any more complicated than they need to be.
Izakaya,New York,East Village,An izakaya is an informal Japanese establishment neither quite restaurant nor tavern that treats eating as fortification for drinking. But Dai Watanabe the chef here is not content to be an accompanist. The mission may be comfort food but thereÍ¢‘„‘s a reverence to its making even in the minor dishes. The soft-spoken waiter Yudai Kanayama who also happens to be one of IzakayaÍ¢‘„‘s owners has an uncanny ability to match each diner with a sake that suits and to gently explain the menuÍ¢‘„‘s digressions into Neapolitan cooking (a specialty of Mr. WatanabeÍ¢‘„‘s) and yoshoku Japanese Western-style cuisine.
